# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
  165, 3 5 11,        radical,        0,  0,  4,  0,   9,   12,  13,  4,   20,  10,  17,  1,   36,  24,  6,   47,  43,  31,  23,  19
  166, 2 83,          radical,        1,  1,  5,  1,   10,  13,  14,  5,   21,  11,  18,  2,   37,  25,  7,   48,  44,  32,  24,  20
  167, 167,           prime,          2,  2,  6,  2,   11,  14,  15,  6,   22,  12,  19,  3,   38,  26,  8,   49,  45,  33,  25,  21
  168, 2³ 3 7,        ,               0,  3,  0,  3,   12,  15,  16,  7,   23,  13,  20,  4,   39,  27,  9,   50,  46,  34,  26,  22
  169, 13²,           prime power,    1,  4,  1,  4,   0,   16,  17,  8,   24,  14,  21,  5,   40,  28,  10,  51,  47,  35,  27,  23
  170, 2 5 17,        radical,        2,  0,  2,  5,   1,   0,   18,  9,   25,  15,  22,  6,   41,  29,  11,  52,  48,  36,  28,  24
  171, 3² 19,         ,               0,  1,  3,  6,   2,   1,   0,   10,  26,  16,  23,  7,   42,  30,  12,  53,  49,  37,  29,  25
  172, 2² 43,         ,               1,  2,  4,  7,   3,   2,   1,   11,  27,  17,  24,  8,   0,   31,  13,  54,  50,  38,  30,  26
  173, 173,           prime,          2,  3,  5,  8,   4,   3,   2,   12,  28,  18,  25,  9,   1,   32,  14,  55,  51,  39,  31,  27
  174, 2 3 29,        radical,        0,  4,  6,  9,   5,   4,   3,   13,  0,   19,  26,  10,  2,   33,  15,  56,  52,  40,  32,  28
